Model,Type,epsilon,Accuracy,Precision,Recall,F1-score,DIR,DPD,EOpp,EO
Logistic Regression,DiffPriv,0.1,0.6506,0.2507,0.8624,0.3885,0.4428,0.4471,0.0992,0.5135
Logistic Regression,DiffPriv,0.5,0.7902,0.3637,0.8408,0.5078,0.5235,0.2299,0.0945,0.2822
Logistic Regression,DiffPriv,1.0,0.8143,0.3964,0.8474,0.5402,0.6419,0.1384,0.0869,0.1836
Logistic Regression,DiffPriv,5.0,0.8354,0.4331,0.9022,0.5853,0.7677,0.0766,0.024,0.1259
Logistic Regression,DiffPriv,10.0,0.8495,0.4557,0.8706,0.5983,0.8281,0.0437,0.0134,0.0134
Random Forest,DiffPriv,0.1,0.8888,0.5427,0.864,0.6667,0.4731,0.1204,0.2561,0.2561
Random Forest,DiffPriv,0.5,0.8196,0.4079,0.8889,0.5592,0.3463,0.2102,0.27,0.27
Random Forest,DiffPriv,1.0,0.8448,0.4469,0.8657,0.5895,0.3727,0.1783,0.2727,0.2727
Random Forest,DiffPriv,5.0,0.845,0.4474,0.8673,0.5903,0.3723,0.1785,0.2747,0.2747
Random Forest,DiffPriv,10.0,0.845,0.4474,0.8673,0.5903,0.3723,0.1785,0.2747,0.2747
Naive Bayes,DiffPriv,0.1,0.8839,0.5388,0.6799,0.6012,0.2343,0.1463,0.4275,0.4275
Naive Bayes,DiffPriv,0.5,0.8604,0.4715,0.6998,0.5634,0.0185,0.232,0.8038,0.8038
Naive Bayes,DiffPriv,1.0,0.7609,0.3389,0.9022,0.4928,0.7484,0.0907,0.0054,0.0613
Naive Bayes,DiffPriv,5.0,0.8771,0.5142,0.8126,0.6298,0.6098,0.0859,0.1087,0.1087
Naive Bayes,DiffPriv,10.0,0.876,0.511,0.8507,0.6385,0.5958,0.094,0.1378,0.1378
Logistic Regression,DiffPriv w/ fairlearn,0.1,0.1714,0.1322,0.9768,0.2328,0.9473,0.0524,0.0028,0.06
Logistic Regression,DiffPriv w/ fairlearn,0.5,0.8141,0.3909,0.796,0.5243,0.6505,0.1274,0.087,0.1688
Logistic Regression,DiffPriv w/ fairlearn,1.0,0.241,0.1382,0.9353,0.2408,0.9983,0.0015,0.0288,0.0288
Logistic Regression,DiffPriv w/ fairlearn,5.0,0.8288,0.4227,0.9022,0.5757,0.6935,0.1118,0.024,0.1644
Logistic Regression,DiffPriv w/ fairlearn,10.0,0.8265,0.4169,0.874,0.5645,0.7708,0.0758,0.0122,0.1242
Random Forest,DiffPriv w/ fairlearn,0.1,0.7853,0.3634,0.8889,0.5159,0.5965,0.1881,0.1669,0.2646
Random Forest,DiffPriv w/ fairlearn,0.5,0.7067,0.2953,0.9221,0.4473,0.7184,0.1463,0.1314,0.2111
Random Forest,DiffPriv w/ fairlearn,1.0,0.7631,0.3426,0.9154,0.4986,0.6026,0.2009,0.0354,0.2652
Random Forest,DiffPriv w/ fairlearn,5.0,0.7665,0.3451,0.9071,0.5,0.6324,0.1766,0.1584,0.2506
Random Forest,DiffPriv w/ fairlearn,10.0,0.7671,0.3452,0.9022,0.4993,0.6334,0.1749,0.1085,0.2435
Naive Bayes,DiffPriv w/ fairlearn,0.1,0.6117,0.1954,0.6468,0.3001,0.9175,0.0377,0.0802,0.0802
Naive Bayes,DiffPriv w/ fairlearn,0.5,0.6702,0.2465,0.7595,0.3722,0.6424,0.1991,0.2686,0.2727
Naive Bayes,DiffPriv w/ fairlearn,1.0,0.699,0.2893,0.9187,0.44,0.8052,0.0944,0.005,0.139
Naive Bayes,DiffPriv w/ fairlearn,5.0,0.8444,0.439,0.7512,0.5541,0.6278,0.117,0.0501,0.1609
Naive Bayes,DiffPriv w/ fairlearn,10.0,0.838,0.4299,0.7927,0.5574,0.6068,0.1365,0.027,0.192
